ground_id,ground,country,continent,latitude,longitude
16,"West Kent Cricket Club Ground, Chislehurst",England,Europe,,
854,"Indira Gandhi Stadium, Vijayawada",India,Asia,16.505503,80.637901
902,"SuperSport Park, Centurion",South Africa,Africa,-25.860279,28.195490
1547,"Maple Leaf South-East Ground, Toronto",Canada,Americas,,
1560,"Shamsul Huda Stadium, Jessore",Bangladesh,Asia,,
2669,"DRIEMS Ground, Tangi, Cuttack",India,Asia,0.000000,0.000000
1306,"Ditchmore Lane, Stevenage",England,Europe,,
2660,"Old Field, Bray",England,Europe,0.000000,0.000000
711,"International Cricket Ground, Nayapura, Kota",India,Asia,0.000000,0.000000
1167,"Blake Park, Mount Maunganui",New Zealand,Oceania,-37.652794,176.190704
1213,"Lichfield Road, Stone",England,Europe,,
545,"Gaddafi Stadium, Lahore",Pakistan,Asia,31.513062,74.334450
958,"Victoria Park, Wanganui",New Zealand,Oceania,-39.924656,175.034470
1186,"Uitvlugt Community Centre Ground, Georgetown, Guyana",West Indies,Americas,,
312,"Garrison A Cricket Ground, Colchester",England,Europe,,
24,"Field Lane, Bury St Edmunds",England,Europe,0.000000,0.000000
2891,"Casa 2 Ground, Grey College School, Bloemfontein",South Africa,Africa,0.000000,0.000000
1856,"Redwood Park, Christchurch",New Zealand,Oceania,-43.476601,172.613541
1910,"Bilakhiya Stadium, Vapi",India,Asia,,
2650,"Stoke Down, Alresford",England,Europe,0.000000,0.000000
618,"Osborne Avenue, Jesmond",England,Europe,,
629,"Windsor Park, Roseau, Dominica",West Indies,Americas,15.302065,-61.384655
1189,"Stowe Lane, Colwall",England,Europe,0.000000,0.000000
1411,"Rush Cricket Club Ground, Dublin",Ireland,Europe,,
2897,"Hickling Ground, St Andrews School, Bloemfontein",South Africa,Africa,0.000000,0.000000
416,"P Sara Oval, Colombo",Sri Lanka,Asia,6.919412,79.883888
2355,"Lansdown Cricket Club Ground, Cricket Down, Bath",England,Europe,,
1030,"Asghar Ali Shah Stadium, Karachi",Pakistan,Asia,,
112,"County Ground, Hove",England,Europe,50.829990,-0.164167
2,"Aram's New Ground, Montpelier Gardens, Walworth",England,Europe,,
504,"WestpacTrust Park, Hamilton",New Zealand,Oceania,-37.786697,175.274292
1873,"Three Ws Oval, Bridgetown, Barbados",West Indies,Americas,0.000000,0.000000
1006,"Old Hararians, Harare",Zimbabwe,Africa,-17.814096,31.027924
395,"South African Railways Club Old Ground, Bloemfontein",South Africa,Africa,,
1031,"Boland Bank Park, Paarl",South Africa,Africa,-33.739555,18.997892
2696,"Hippodrome, Tallinn",Estonia,Europe,0.000000,0.000000
1864,"Polly Joseph Stadium, Christiansted, St Croix",West Indies,Americas,,
2018,"Barton Oval, Upper Hutt",New Zealand,Oceania,-41.135803,175.032623
903,"University of Orange Free State Ground, Bloemfontein",South Africa,Africa,-29.108419,26.176756
1020,"Northerns-Goodwood Cricket Club Oval, Cape Town",South Africa,Africa,,
1665,"Passmore Oval, Newcastle",Australia,Oceania,-32.571259,151.189423
1394,"Lensbury Sports Ground, Teddington",England,Europe,,
2366,"Les Quennevais No 2 Ground, St Brelade",Jersey,Europe,,
2649,"Cheden Holt, Hambledon",England,Europe,0.000000,0.000000
354,"Roshanara Club Ground, Delhi",India,Asia,28.674784,77.195549
1669,"Sunshine Ground, Cuttack",India,Asia,,
904,Harare South Country Club,Zimbabwe,Africa,,
952,"North Sydney Oval, Sydney",Australia,Oceania,,
1304,"London Road, High Wycombe",England,Europe,0.000000,0.000000
1031,"Boland Park, Paarl",South Africa,Africa,-33.739555,18.997892
683,"Karnataka State Cricket Association Stadium, Bangalore",India,Asia,12.978806,77.599556
378,"Manor Sports Ground, Worthing",England,Europe,,
2171,"Roshnee Cricket Ground, Vereeniging",South Africa,Africa,,
1043,"Sukhadia Stadium, Bhilwara",India,Asia,,
2371,"Diamond Ground, Cardiff",England,Europe,,
1080,"Everest Cricket Club Ground, Georgetown, Guyana",West Indies,Americas,,
208,"Queen's Park Oval, Port of Spain, Trinidad",West Indies,Americas,10.667081,-61.523479
157,Moreton-in-Marsh Cricket Club Ground,England,Europe,0.000000,0.000000
2192,"Farmers Cricket Club Ground, St Martin",Jersey,Europe,0.000000,0.000000
1368,"Lilac Hill Park North, Perth",Australia,Oceania,,
141,"East Melbourne Cricket Ground, Melbourne",Australia,Oceania,,
747,"Formby Recreation Ground, Devonport",Australia,Oceania,-41.166000,146.359360
2372,Oak Hill Cricket Club,Ireland,Europe,,
476,Chittagong Stadium,Bangladesh,Asia,22.346420,91.824219
11,"Royal New Ground, Brighton",England,Europe,,
292,"Eden Gardens, Kolkata",India,Asia,22.564608,88.343315
1984,"Olympia Park, Rustenburg",South Africa,Africa,0.000000,0.000000
21,Sevenoaks Vine Cricket Club Ground,England,Europe,0.000000,0.000000
1198,"Moss Lane, Alderley Edge",England,Europe,0.000000,0.000000
164,"Edgbaston, Birmingham",England,Europe,52.455730,-1.902735
1407,"Carlisle Cricket Club Ground, Dublin",Ireland,Europe,,
1881,"Quaid-e-Azam Park, Karachi",Pakistan,Asia,,
646,"Dr Rajendra Prasad Stadium, Marmagao",India,Asia,,
2087,"Tills Crescent, Durban",South Africa,Africa,0.000000,0.000000
1134,"Owen Delany Park, Taupo",New Zealand,Oceania,-38.669323,176.097855
1499,"Spicer's Sports Ground, Sawston",England,Europe,,
187,"Trafalgar Park, Nelson",New Zealand,Oceania,-41.266857,173.283188
573,"Western Railway Ground, Rajkot",India,Asia,,
2408,"East Coast Railway Sports Association, Bhubaneswar",India,Asia,,
2618,"Surrey Village, Maggona",Sri Lanka,Asia,0.000000,0.000000
1635,"Meir Heath Cricket Club, Stoke-on-Trent",England,Europe,,
746,"Grove Park, Charlestown, Nevis",West Indies,Americas,,
691,"Horton Park, Blenheim",New Zealand,Oceania,-41.517872,173.962189
1664,"University Oval, Newcastle",Australia,Oceania,,
217,"North Road Ground, Glossop",England,Europe,,
437,"Nehru Stadium, Poona",India,Asia,18.502483,73.855553
1486,Horton House Cricket Club Ground,England,Europe,0.000000,0.000000
1954,"Azaadville Oval, Azaadville, Johannesburg",South Africa,Africa,,
1553,"Porthill Park, Wolstanton",England,Europe,,
1165,"Hatherley and Reddings Cricket Club Ground, Cheltenham",England,Europe,,
1949,"Christian Brothers School Ground, Boksburg",South Africa,Africa,,
2005,"Diamond Club Ground, Islamabad",Pakistan,Asia,33.699413,73.041618
2139,"Emerald High School Ground, Indore",India,Asia,,
1869,"Addelita Cancryn Junior High School Ground, Charlotte Amalie, St Thomas",West Indies,Americas,,
1299,"Highfield, Leek",England,Europe,,
2761,"Glenwood High School, Durban",South Africa,Africa,0.000000,0.000000
784,"Old Grey Sports Club Ground, Port Elizabeth",South Africa,Africa,0.000000,0.000000
228,"Victoria Ground, King William's Town",South Africa,Africa,,
295,"Nelson Park, Napier",New Zealand,Oceania,-39.497986,176.910309
